trajectory,x,y
SC,0.5003,0.3311
SC,1.0013,0.6897
SC,1.4991,0.3569
SC,2.0039,0.2979
SC,3.0002,0.2489
SC,5.0082,0.1686
SC,9.9776,0.1097
SC,15.9896,0.0812
SC,24.0481,0.0651
HITHOC,0.5003,0.1393
HITHOC,1.0013,0.2495
HITHOC,1.4991,0.229
HITHOC,2.0039,0.2083
HITHOC,3.0002,0.169
HITHOC,5.0082,0.1287
HITHOC,9.9776,0.1002
HITHOC,15.9896,0.0812
HITHOC,24.0481,0.0651
HIPEC,0.5003,0.1897
HIPEC,1.0013,0.3687
HIPEC,1.4991,0.3392
HIPEC,2.0039,0.2881
HIPEC,3.0002,0.2186
HIPEC,5.0082,0.1481
HIPEC,9.9776,0.0987
HIPEC,15.9896,0.0812
HIPEC,24.0481,0.0651
